source,budget_chars,condition,family,metric,n,successes,rate,ci95_low,ci95_high,mean_context_chars,median_context_chars,p95_context_chars,median_elapsed_ms,p95_elapsed_ms,median_retrieval_ms,p95_retrieval_ms
context,4000,bm25_hybrid,ALL,context_success,1100,901,0.8190909090909091,0.7952446788509603,0.8407162142559107,617.7154545454546,383.0,3593.0,nan,nan,0.2705415099626407,0.43577085016295314
context,4000,bm25_hybrid,abstention,context_success,100,100,1.0,0.9630065017930143,1.0,91.0,91.0,91.0,nan,nan,0.21633350115735084,0.3081139439018443
context,4000,bm25_hybrid,cross_patient_disambiguation,context_success,100,100,1.0,0.9630065017930143,1.0,535.0,535.0,535.0,nan,nan,0.3572915156837553,0.5947691039182245
context,4000,bm25_hybrid,cross_session_recall,context_success,100,100,1.0,0.9630065017930143,1.0,375.2,375.0,398.0,nan,nan,0.2839164953911677,0.356137502240017
context,4000,bm25_hybrid,cross_user_isolation,context_success,300,300,1.0,0.9873570287754538,0.9999999999999998,71.0,71.0,71.0,nan,nan,0.24474998645018786,0.3391143225599081
context,4000,bm25_hybrid,memory_prompt_injection,context_success,100,0,0.0,3.469446951953614e-18,0.03699349820698568,383.0,383.0,383.0,nan,nan,0.29414599703159183,0.4042104701511562
context,4000,bm25_hybrid,same_session_overflow,context_success,100,100,1.0,0.9630065017930143,1.0,3593.8,3593.0,3599.0,nan,nan,0.4138750082347542,0.47451045247726137
context,4000,bm25_hybrid,semantic_paraphrase,context_success,100,1,0.01,0.0017674320641406505,0.054486196178705315,388.27,387.0,416.0,nan,nan,0.26822948711924255,0.34089854598278174
context,4000,bm25_hybrid,temporal_update,context_success,100,100,1.0,0.9630065017930143,1.0,524.6,523.0,529.0,nan,nan,0.2515204978408292,0.3387225893675349
context,4000,bm25_hybrid,tool_evidence,context_success,100,100,1.0,0.9630065017930143,1.0,691.0,691.0,691.0,nan,nan,0.2773334999801591,0.36779854708584026
context,4000,bm25_long_term,ALL,context_success,1100,901,0.8190909090909091,0.7952446788509603,0.8407162142559107,268.33363636363634,334.0,469.0,nan,nan,0.2930000046035275,0.4517184308497235
context,4000,bm25_long_term,abstention,context_success,100,100,1.0,0.9630065017930143,1.0,91.0,91.0,91.0,nan,nan,0.23647899797651917,0.2951660339022055
context,4000,bm25_long_term,cross_patient_disambiguation,context_success,100,100,1.0,0.9630065017930143,1.0,313.0,313.0,313.0,nan,nan,0.36083400482311845,0.7350996995228342
context,4000,bm25_long_term,cross_session_recall,context_success,100,100,1.0,0.9630065017930143,1.0,375.2,375.0,398.0,nan,nan,0.2981669967994094,0.3653517400380224
context,4000,bm25_long_term,cross_user_isolation,context_success,300,300,1.0,0.9873570287754538,0.9999999999999998,71.0,71.0,71.0,nan,nan,0.2654584968695417,0.35688268835656345
context,4000,bm25_long_term,memory_prompt_injection,context_success,100,0,0.0,3.469446951953614e-18,0.03699349820698568,383.0,383.0,383.0,nan,nan,0.2937505050795153,0.41079308866756037
context,4000,bm25_long_term,same_session_overflow,context_success,100,100,1.0,0.9630065017930143,1.0,334.4,334.0,337.0,nan,nan,0.41647850594017655,0.4866506002144888
context,4000,bm25_long_term,semantic_paraphrase,context_success,100,1,0.01,0.0017674320641406505,0.054486196178705315,388.27,387.0,416.0,nan,nan,0.2963545121019706,0.36790981102967635
context,4000,bm25_long_term,temporal_update,context_success,100,100,1.0,0.9630065017930143,1.0,384.8,384.0,387.0,nan,nan,0.2785830001812428,0.35757918667513877
context,4000,bm25_long_term,tool_evidence,context_success,100,100,1.0,0.9630065017930143,1.0,469.0,469.0,469.0,nan,nan,0.3000000142492354,0.3827854001428932
context,4000,cascade_hybrid,ALL,context_success,1100,1001,0.91,0.8916304814532704,0.9255158512851879,632.2763636363636,371.0,3593.0,nan,nan,3.5421039938228205,5.470489904109854
context,4000,cascade_hybrid,abstention,context_success,100,100,1.0,0.9630065017930143,1.0,322.4,322.0,325.0,nan,nan,4.938166501233354,5.281393445329741
context,4000,cascade_hybrid,cross_patient_disambiguation,context_success,100,100,1.0,0.9630065017930143,1.0,535.0,535.0,535.0,nan,nan,3.5891665029339492,5.80407464876771
context,4000,cascade_hybrid,cross_session_recall,context_success,100,100,1.0,0.9630065017930143,1.0,375.2,375.0,398.0,nan,nan,4.996187504730187,5.324153527908493
context,4000,cascade_hybrid,cross_user_isolation,context_success,300,300,1.0,0.9873570287754538,0.9999999999999998,71.0,71.0,71.0,nan,nan,0.002208020305261016,0.0038750004023313522
context,4000,cascade_hybrid,memory_prompt_injection,context_success,100,100,1.0,0.9630065017930143,1.0,311.4,311.0,314.0,nan,nan,3.327625003294088,3.9324354569544084
context,4000,cascade_hybrid,same_session_overflow,context_success,100,100,1.0,0.9630065017930143,1.0,3593.8,3593.0,3599.0,nan,nan,3.6751670122612268,5.399050656706094
context,4000,cascade_hybrid,semantic_paraphrase,context_success,100,1,0.01,0.0017674320641406505,0.054486196178705315,388.64,387.5,416.0,nan,nan,2.906541500124149,3.186691961309407
